Conference,Subfield,Paper
MOD22,Data management systems,HYPERSONIC: A Hybrid Parallelization Approach for Scalable Complex Event Processing
MOD22,Data management systems,Approximate Range Thresholding
MOD22,Information systems applications,Gloria: Graph-based Sharing Optimizer for Event Trend Aggregation
MOD22,Data management systems/Information retrieval,TxtAlign: Efficient Near-Duplicate Text Alignment Search via Bottom-k Sketches for Plagiarism Detection
MOD22,Data management systems/Information retrieval,Classifier Construction Under Budget Constraints
MOD22,Data management systems/Information systems applications,dCAM: Dimension-wise Class Activation Map for Explaining Multivariate Data Series Classification
MOD22,Data management systems,CoLES: Contrastive Learning for Event Sequences with Self-Supervision
MOD22,Information systems applications,Anchored Densest Subgraph
MOD22,Data management systems,Learned Cardinality Estimation: An In-depth Study
MOD22,Data management systems,LSched: A Workload-Aware Learned Query Scheduler for Analytical Database Systems
MOD22,Data management systems/Information retrieval,Efficient Evaluation of Arbitrarily-Framed Holistic SQL Aggregates and Window Functions
MOD22,Data management systems,HINT: A Hierarchical Index for Intervals in Main Memory
MOD22,Data management systems,Camel: Managing Data for Efficient Stream Learning
MOD22,Data management systems,In-Database Machine Learning with CorgiPile: Stochastic Gradient Descent without Full Data Shuffle
MOD22,Data management systems,NeutronStar: Distributed GNN Training with Hybrid Dependency Management
MOD22,Data management systems,The Price of Tailoring the Index to Your Data: Poisoning Attacks on Learned Index Structures
MOD22,Data management systems,Optimizing Data-intensive Systems in Disaggregated Data Centers with TELEPORT
MOD22,Data management systems,TCUDB: Accelerating Database with Tensor Processors
MOD22,Data management systems,P4DB - The Case for In-Network OLTP
MOD22,Data management systems/Information storage systems,Avoiding Read Stalls on Flash Storage
MOD22,Data management systems,TimeUnion: An Efficient Architecture with Unified Data Model for Timeseries Management Systems on Hybrid Cloud Storage
MOD22,Data management systems,Optimizing Parallel Recursive Datalog Evaluation on Multicore Machines
MOD22,Data management systems,Parallel Query Processing: To Separate Communication from Computation
MOD22,Data management systems,Annotating Columns with Pre-trained Language Models
MOD22,Data management systems,Leva: Boosting Machine Learning Performance with Relational Embedding Data Augmentation
MOD22,Data management systems,Cooperative Route Planning Framework for Multiple Distributed Assets in Maritime Applications
MOD22,Data management systems,Budget-aware Index Tuning with Reinforcement Learning
MOD22,Data management systems,SAM: Database Generation from Query Workloads with Supervised Autoregressive Models
MOD22,Data management systems,Efficient Answering of Historical What-if Queries
MOD22,Data management systems,Computing the Shapley Value of Facts in Query Answering
MOD22,Data management systems/Information retrieval,JEDI: These aren't the JSON documents you're looking for?
MOD22,Data management systems,Adaptive Hybrid Indexes
MOD22,Data management systems,Entropy-Learned Hashing: Constant Time Hashing with Controllable Uniformity
MOD22,Data management systems,CompressDB: Enabling Efficient Compressed Data Direct Processing for Various Databases
MOD22,Data management systems,Proteus: A Self-Designing Range Filter
MOD22,Data management systems,Scalable Time Series Compound Infrastructure
MOD22,Data management systems,PI2: End-to-end Interactive Visualization Interface Generation from Queries
MOD22,Data management systems,A Hierarchical Contraction Scheme for Querying Big Graphs
MOD22,Data management systems,Representative Query Results by Voting
MOD22,Data management systems/Information systems applications,Protecting Data Markets from Strategic Buyers
MOD22,Information retrieval,Automated Category Tree Construction in E-Commerce
MOD22,Data management systems,FILA: Online Auditing of Machine Learning Model Accuracy under Finite Labelling Budget
MOD22,Data management systems,Evaluating Multi-GPU Sorting with Modern Interconnects
MOD22,Data management systems,How Good is My HTAP System?
MOD22,Data management systems/Information storage systems,Where Is My Training Bottleneck? Hidden Trade-Offs in Deep Learning Preprocessing Pipelines
