Conference,Subfield,Paper
SAC22,Embedded and cyber-physical systems,Detecting return-oriented programming on firmware-only embedded devices using hardware performance counters
SAC22,Embedded and cyber-physical systems,Towards privacy aware deep learning for embedded systems
SAC22,Embedded and cyber-physical systems,Learning adaptive control in dynamic environments using reproducing kernel priors with bayesian policy gradients
SAC22,Dependable and fault-tolerant systems and networks,Dual hybridization method for the classification of ultrasound breast tumors
SAC22,Architectures,Adjusting inference time for power efficiency in neuromorphic architectures
SAC22,Embedded and cyber-physical systems,A framework for OS portability: from formal models to low-level code
SAC22,Dependable and fault-tolerant systems and networks,DMAFV: testing device drivers against DMA faults
SAC22,Architectures,cuPSO: GPU parallelization for particle swarm optimization algorithms
SAC22,Real-time systems,Synchronous semantics of multi-mode multi-periodic systems
SAC22,Architectures,A federated machine learning approach to detect international revenue share fraud on the 5G edge
SAC22,Architectures/Embedded and cyber-physical systems,FEAST: a framework for evaluating implementation architectures of self-adaptive IoT systems
SAC22,Dependable and fault-tolerant systems and networks,Effective TLB thrashing: unveiling the true short reach of modern TLB designs
SAC22,Embedded and cyber-physical systems,A reinforcement learning-based path planning for collaborative UAVs
STOC22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Positive spectrahedra: invariance principles and pseudorandom generators
ICMR22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,I2-Net: Intra- and Inter-scale Collaborative Learning Network for Abdominal Multi-organ Segmentation
KDD22,Embedded and cyber-physical systems,Efficient Orthogonal Multi-view Subspace Clustering
KDD22,Embedded and cyber-physical systems,Spatio-Temporal Trajectory Similarity Learning in Road Networks
KDD22,Architectures,Learned Token Pruning for Transformers
KDD22,Architectures,FedWalk: Communication Efficient Federated Unsupervised Node Embedding with Differential Privacy
KDD22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Evaluating Knowledge Graph Accuracy Powered by Optimized Human-machine Collaboration
KDD22,Embedded and cyber-physical systems,Intrinsic-Motivated Sensor Management: Exploring with Physical Surprise
KDD22,Architectures,Design Domain Specific Neural Network via Symbolic Testing
KDD22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,A Logic Aware Neural Generation Method for Explainable Data-to-text
KDD22,Architectures,Lion: A GPU-Accelerated Online Serving System for Web-Scale Recommendation at Baidu
KDD22,Dependable and fault-tolerant systems and networks,Multi-task Hierarchical Classification for Disk Failure Prediction in Online Service Systems
KDD22,Architectures,Graph Neural Network Training and Data Tiering
KDD22,Architectures,NENYA: Cascade Reinforcement Learning for Cost-Aware Failure Mitigation at Microsoft 365
KDD22,Dependable and fault-tolerant systems and networks/Architectures,Felicitas: Federated Learning in Distributed Cross Device Collaborative Frameworks
